cohort_month,users_in_cohort,month_number,active_users,retention_pct
2023-01,114,0,53,46.5
2023-01,114,1,92,80.7
2023-01,114,2,87,76.3
2023-01,114,3,90,78.9
2023-01,114,4,89,78.1
2023-01,114,5,78,68.4
2023-01,114,6,75,65.8
2023-02,129,0,60,46.5
2023-02,129,1,103,79.8
2023-02,129,2,93,72.1
2023-02,129,3,98,76.0
2023-02,129,4,96,74.4
2023-02,129,5,97,75.2
2023-02,129,6,97,75.2
2023-03,121,0,57,47.1
2023-03,121,1,89,73.6
2023-03,121,2,89,73.6
2023-03,121,3,95,78.5
2023-03,121,4,87,71.9
2023-03,121,5,91,75.2
2023-03,121,6,90,74.4
2023-04,129,0,70,54.3
2023-04,129,1,99,76.7
2023-04,129,2,100,77.5
2023-04,129,3,101,78.3
2023-04,129,4,102,79.1
2023-04,129,5,95,73.6
2023-04,129,6,106,82.2
2023-05,126,0,69,54.8
2023-05,126,1,99,78.6
2023-05,126,2,99,78.6
2023-05,126,3,95,75.4
2023-05,126,4,99,78.6
2023-05,126,5,102,81.0
2023-05,126,6,94,74.6
2023-06,111,0,60,54.1
2023-06,111,1,82,73.9
2023-06,111,2,87,78.4
2023-06,111,3,81,73.0
2023-06,111,4,93,83.8
2023-06,111,5,79,71.2
2023-06,111,6,87,78.4
2023-07,129,0,83,64.3
2023-07,129,1,103,79.8
2023-07,129,2,110,85.3
2023-07,129,3,104,80.6
2023-07,129,4,106,82.2
2023-07,129,5,99,76.7
2023-07,129,6,102,79.1
2023-08,117,0,76,65.0
2023-08,117,1,97,82.9
2023-08,117,2,101,86.3
2023-08,117,3,91,77.8
2023-08,117,4,100,85.5
2023-08,117,5,100,85.5
2023-08,117,6,98,83.8
2023-09,118,0,77,65.3
2023-09,118,1,105,89.0
2023-09,118,2,94,79.7
2023-09,118,3,100,84.7
2023-09,118,4,101,85.6
2023-09,118,5,93,78.8
2023-09,118,6,99,83.9
2023-10,122,0,69,56.6
2023-10,122,1,99,81.1
2023-10,122,2,106,86.9
2023-10,122,3,100,82.0
2023-10,122,4,100,82.0
2023-10,122,5,107,87.7
2023-10,122,6,107,87.7
2023-11,115,0,66,57.4
2023-11,115,1,98,85.2
2023-11,115,2,99,86.1
2023-11,115,3,95,82.6
2023-11,115,4,102,88.7
2023-11,115,5,105,91.3
2023-11,115,6,96,83.5
2023-12,126,0,81,64.3
2023-12,126,1,108,85.7
2023-12,126,2,102,81.0
2023-12,126,3,101,80.2
2023-12,126,4,114,90.5
2023-12,126,5,113,89.7
2023-12,126,6,109,86.5
2024-01,116,0,72,62.1
2024-01,116,1,97,83.6
2024-01,116,2,111,95.7
2024-01,116,3,106,91.4
2024-01,116,4,96,82.8
2024-01,116,5,108,93.1
2024-01,116,6,104,89.7
2024-02,120,0,73,60.8
2024-02,120,1,108,90.0
2024-02,120,2,108,90.0
2024-02,120,3,108,90.0
2024-02,120,4,109,90.8
2024-02,120,5,108,90.0
2024-02,120,6,105,87.5
2024-03,138,0,94,68.1
2024-03,138,1,128,92.8
2024-03,138,2,127,92.0
2024-03,138,3,123,89.1
2024-03,138,4,129,93.5
2024-03,138,5,126,91.3
2024-03,138,6,123,89.1
2024-04,116,0,91,78.4
2024-04,116,1,108,93.1
2024-04,116,2,112,96.6
2024-04,116,3,107,92.2
2024-04,116,4,109,94.0
2024-04,116,5,109,94.0
2024-04,116,6,109,94.0
2024-05,127,0,95,74.8
2024-05,127,1,119,93.7
2024-05,127,2,121,95.3
2024-05,127,3,121,95.3
2024-05,127,4,120,94.5
2024-05,127,5,119,93.7
2024-05,127,6,122,96.1
2024-06,107,0,79,73.8
2024-06,107,1,103,96.3
2024-06,107,2,105,98.1
2024-06,107,3,104,97.2
2024-06,107,4,105,98.1
2024-06,107,5,103,96.3
2024-06,107,6,102,95.3
2024-07,140,0,115,82.1
2024-07,140,1,139,99.3
2024-07,140,2,139,99.3
2024-07,140,3,138,98.6
2024-07,140,4,135,96.4
2024-07,140,5,137,97.9
2024-08,122,0,115,94.3
2024-08,122,1,120,98.4
2024-08,122,2,121,99.2
2024-08,122,3,121,99.2
2024-08,122,4,121,99.2
2024-09,126,0,109,86.5
2024-09,126,1,125,99.2
2024-09,126,2,126,100.0
2024-09,126,3,126,100.0
2024-10,147,0,136,92.5
2024-10,147,1,147,100.0
2024-10,147,2,147,100.0
2024-11,139,0,138,99.3
2024-11,139,1,139,100.0
2024-12,145,0,145,100.0
