movie_id,title,genre,language,content_type,release_year,runtime_minutes,imdb_rating,budget_tier
1,Old black,Fantasy,Hindi,Series,2011,48,7.0,High
2,Program any,Reality,Spanish,Movie,2002,87,6.8,High
3,Magazine option point,Drama,Hindi,Movie,2016,125,7.2,Low
4,Letter wind,Sci-fi,French,Movie,1998,89,7.0,Blockbuster
5,Realize edge capital,Comedy,English,Movie,2002,106,6.4,High
6,Maybe door,Fantasy,Hindi,Movie,2008,89,6.8,Blockbuster
7,Pick push,Action,English,Movie,1995,121,9.8,High
8,Social opportunity save,Documentary,Spanish,Series,2023,43,7.4,Blockbuster
9,Five,Romance,Japanese,Movie,2014,83,6.1,Mid
10,Low among manage,Romance,Korean,Movie,2024,99,7.5,Low
11,Stop cup decade,Thriller,French,Movie,2020,120,7.6,High
12,Serious open,Documentary,Hindi,Series,2021,57,8.3,Low
13,Involve believe their,Action,French,Movie,2007,177,7.7,Low
14,Coach level,Thriller,Korean,Series,2013,52,6.0,Blockbuster
15,Program whether ever,Comedy,Hindi,Movie,2022,147,5.3,Low
16,Four me six,Fantasy,French,Series,2011,53,5.4,Blockbuster
17,Most stop must,Thriller,English,Series,2021,56,8.4,High
18,Record report local,Sci-fi,Hindi,Movie,2002,178,6.8,High
19,Small adult meet,Sci-fi,Korean,Series,2018,27,7.8,Mid
20,Lot probably single,Documentary,Japanese,Movie,2006,90,6.6,High
21,Figure describe sister,Comedy,English,Movie,2024,126,6.5,Blockbuster
22,Say bag one,Horror,French,Series,2020,46,7.3,Mid
23,New common,Action,Japanese,Series,2024,54,7.9,Mid
24,Across blood contain,Documentary,Hindi,Movie,2016,154,7.1,Mid
25,Collection third feel,Romance,Hindi,Series,2005,40,6.9,Low
26,Need country,Documentary,Japanese,Series,2011,29,9.7,Blockbuster
27,Thing position,Thriller,Spanish,Movie,2023,103,6.7,Blockbuster
28,Surface college,Comedy,Spanish,Movie,2008,113,8.0,Blockbuster
29,Early event,Action,English,Movie,2022,84,6.9,Blockbuster
30,Now company,Action,French,Series,1997,28,8.1,Blockbuster
31,Store,Sci-fi,English,Series,1999,45,5.3,Mid
32,Police,Comedy,English,Series,2005,41,6.4,Low
33,Hour story kitchen,Drama,Hindi,Movie,1997,174,5.9,High
34,Improve a,Documentary,English,Movie,2015,137,6.1,Blockbuster
35,Stock apply oil,Horror,Hindi,Movie,2017,97,7.3,Mid
36,Create at structure,Crime,Spanish,Movie,2024,145,8.7,Low
37,After,Drama,Japanese,Movie,2013,155,7.0,High
38,Pass anyone,Horror,French,Series,2007,40,6.4,Blockbuster
39,Offer early,Reality,English,Movie,2013,115,6.3,Low
40,Much concern,Horror,Korean,Series,2005,23,7.1,Blockbuster
41,Fear less,Documentary,English,Series,2005,31,7.9,Mid
42,Wear develop,Reality,English,Series,2023,33,8.1,Blockbuster
43,Run,Crime,Hindi,Movie,2023,158,7.0,High
44,Kind,Romance,Hindi,Series,2000,27,5.5,High
45,Work,Horror,English,Series,2002,30,7.5,High
46,Century magazine also,Romance,Spanish,Movie,2014,176,6.5,Low
47,Exactly book rate,Fantasy,Japanese,Movie,2003,98,6.5,Low
48,Store area wish,Animation,Hindi,Movie,2019,101,6.4,Low
49,Hospital despite,Drama,German,Movie,2023,149,8.6,Mid
50,Require government address,Drama,English,Movie,2006,106,8.4,High
51,Direction community even,Crime,Japanese,Movie,2008,173,6.1,Blockbuster
52,Know international,Horror,Korean,Movie,2004,94,6.4,Low
53,Tax pull,Documentary,Korean,Series,2010,36,5.7,Low
54,Work though,Romance,English,Movie,2018,165,5.9,Low
55,Boy poor society,Comedy,Hindi,Movie,2018,108,9.1,Low
56,Executive behavior,Animation,English,Movie,2005,115,7.0,Blockbuster
57,Federal voice resource,Animation,English,Movie,2016,179,7.7,Low
58,Give tonight explain,Sci-fi,English,Series,2023,22,7.7,Blockbuster
59,Least less,Reality,Spanish,Movie,2020,146,9.8,High
60,Model live inside,Animation,Spanish,Movie,2016,160,5.8,Low
61,Knowledge,Fantasy,English,Series,1995,35,6.2,Mid
62,So page,Thriller,Japanese,Movie,2016,105,7.2,High
63,Perhaps and,Horror,English,Series,2021,31,5.3,Blockbuster
64,They speak,Thriller,French,Movie,2015,91,6.5,Mid
65,Foreign future memory,Comedy,Spanish,Series,2010,55,8.1,Mid
66,After beautiful suffer,Drama,German,Movie,2008,168,5.0,High
67,Past country feel consumer,Fantasy,Spanish,Series,2013,35,6.6,High
68,Expert despite,Fantasy,French,Movie,2000,118,5.7,Mid
69,Entire environment,Fantasy,English,Movie,2010,142,8.3,Blockbuster
70,Collection environmental into,Animation,German,Movie,2010,117,6.7,Low
71,Someone may home,Romance,Japanese,Series,2008,48,5.3,High
72,Large set,Documentary,English,Movie,1998,102,6.3,Blockbuster
73,Company,Fantasy,Spanish,Movie,1998,124,8.0,Blockbuster
74,Them significant have,Horror,Spanish,Movie,2021,142,6.7,Blockbuster
75,Her set,Drama,French,Series,2004,37,7.2,Mid
76,Nice among read,Documentary,English,Series,1996,55,7.4,High
77,Cup its,Sci-fi,English,Movie,2008,130,6.5,Blockbuster
78,As activity,Romance,English,Movie,2024,86,6.3,High
79,Physical,Thriller,English,Series,2005,60,6.0,Low
80,Dinner themselves personal,Documentary,German,Series,2002,56,7.3,Mid
81,Loss want company,Fantasy,Korean,Series,1998,59,5.4,High
82,Risk doctor sister,Animation,English,Series,1995,21,8.2,Blockbuster
83,Administration something ok detail,Reality,English,Movie,2005,125,7.1,Low
84,Back public anyone,Animation,Spanish,Series,2001,43,5.2,Mid
85,Suffer play say,Animation,English,Movie,2007,171,6.6,Mid
86,Develop measure,Action,Hindi,Series,2024,43,8.3,High
87,Energy defense anything,Animation,Hindi,Movie,2018,111,8.4,Low
88,Bank sell successful,Drama,English,Movie,2019,147,6.5,Low
89,There eight increase,Horror,English,Movie,1996,100,5.2,High
90,Capital theory sense,Thriller,Korean,Movie,2015,178,7.3,Mid
91,Network speak who,Reality,French,Series,1998,44,7.9,Blockbuster
92,Happy father,Reality,French,Series,2023,37,6.8,Low
93,Mind staff,Animation,English,Series,2018,46,6.5,Low
94,Number voice chance little,Animation,Japanese,Movie,2014,99,5.3,Low
95,Officer body,Documentary,Spanish,Movie,2001,157,6.8,High
96,Final American lawyer,Documentary,Spanish,Movie,2011,175,9.2,Low
97,His face door,Horror,Hindi,Series,2001,26,5.9,High
98,Send into front,Crime,English,Movie,2010,128,7.6,High
99,Drive,Thriller,French,Movie,2008,151,6.4,High
100,Know trip,Reality,Korean,Movie,2012,144,8.0,Mid
101,Meeting deep how popular,Horror,English,Movie,2018,130,6.9,High
102,Against identify,Reality,English,Series,1998,48,7.2,Mid
103,Nature career,Drama,English,Series,2007,34,6.9,Blockbuster
104,Inside thousand,Crime,English,Movie,1998,162,4.9,High
105,Treat politics simply,Fantasy,English,Movie,1997,92,6.7,Mid
106,Administration mention meet medical,Horror,English,Movie,2013,111,8.9,Low
107,Design service put,Crime,Spanish,Movie,2021,140,7.0,Mid
108,Impact,Horror,English,Movie,2003,132,6.4,High
109,Seem of daughter,Action,Korean,Series,1996,40,8.1,Blockbuster
110,Recent really,Romance,Korean,Series,2017,33,6.8,Blockbuster
111,Series would agency,Sci-fi,English,Series,2015,35,6.0,High
112,Sometimes point summer,Horror,English,Movie,2011,151,9.2,Low
