payment_id,subscription_id,user_id,date_id,amount,payment_status,payment_method
1,1,1,20241016,149.0,Success,UPI
2,1,1,20241115,149.0,Success,Wallet
3,2,2,20230817,149.0,Success,UPI
4,3,3,20240712,149.0,Success,UPI
5,3,3,20240811,149.0,Success,Wallet
6,3,3,20240910,149.0,Success,UPI
7,3,3,20241010,149.0,Success,Wallet
8,3,3,20241109,149.0,Success,UPI
9,4,4,20230406,199.0,Success,Debit Card
10,5,4,20230511,799.0,Success,Credit Card
11,5,4,20230610,799.0,Success,Wallet
12,5,4,20230710,799.0,Success,Debit Card
13,5,4,20230809,799.0,Success,PayPal
14,5,4,20230908,-799.0,Refunded,Wallet
15,5,4,20231008,799.0,Success,Debit Card
16,5,4,20231107,799.0,Success,Credit Card
17,5,4,20231207,799.0,Success,Debit Card
18,5,4,20240106,799.0,Success,PayPal
19,5,4,20240205,799.0,Success,Debit Card
20,5,4,20240306,799.0,Success,PayPal
21,5,4,20240405,799.0,Success,UPI
22,6,5,20240728,499.0,Success,Wallet
23,7,5,20240910,499.0,Success,PayPal
24,8,5,20241025,799.0,Success,Debit Card
25,8,5,20241124,799.0,Success,PayPal
26,9,6,20240305,199.0,Success,PayPal
27,10,7,20230107,199.0,Success,PayPal
28,10,7,20230206,199.0,Failed,PayPal
29,10,7,20230308,199.0,Success,Wallet
30,11,7,20230417,799.0,Success,PayPal
31,12,8,20230609,199.0,Success,PayPal
32,12,8,20230709,199.0,Success,PayPal
33,12,8,20230808,199.0,Success,UPI
34,13,9,20230405,149.0,Success,Wallet
35,13,9,20230505,149.0,Success,Debit Card
36,13,9,20230604,149.0,Success,UPI
37,14,10,20240910,499.0,Success,Wallet
38,15,11,20240703,149.0,Success,PayPal
39,16,12,20240719,499.0,Success,Credit Card
40,17,13,20240106,199.0,Success,Debit Card
41,18,14,20241108,499.0,Success,UPI
42,19,15,20230827,149.0,Success,Credit Card
43,19,15,20230926,149.0,Success,PayPal
44,19,15,20231026,149.0,Success,UPI
45,19,15,20231125,149.0,Success,Wallet
46,19,15,20231225,149.0,Success,Credit Card
47,19,15,20240124,149.0,Failed,Wallet
48,19,15,20240223,149.0,Success,UPI
49,19,15,20240324,149.0,Success,Debit Card
50,19,15,20240423,149.0,Success,Wallet
51,19,15,20240523,149.0,Success,Credit Card
52,19,15,20240622,149.0,Success,Wallet
53,19,15,20240722,149.0,Success,Wallet
54,20,16,20240109,149.0,Success,UPI
55,20,16,20240208,149.0,Success,Debit Card
56,20,16,20240309,149.0,Failed,PayPal
57,20,16,20240408,149.0,Success,PayPal
58,20,16,20240508,149.0,Success,Debit Card
59,20,16,20240607,149.0,Success,Debit Card
60,20,16,20240707,149.0,Success,Debit Card
61,20,16,20240806,149.0,Success,Wallet
62,20,16,20240905,149.0,Success,Wallet
63,20,16,20241005,149.0,Success,Credit Card
64,20,16,20241104,149.0,Success,PayPal
65,21,17,20231001,799.0,Success,PayPal
66,22,18,20240915,199.0,Success,Credit Card
67,23,19,20230617,799.0,Success,UPI
68,23,19,20230717,799.0,Success,Credit Card
69,23,19,20230816,799.0,Success,Credit Card
70,23,19,20230915,799.0,Success,Credit Card
71,23,19,20231015,799.0,Success,Credit Card
72,23,19,20231114,799.0,Success,Credit Card
73,23,19,20231214,799.0,Success,Debit Card
74,23,19,20240113,799.0,Success,Wallet
75,23,19,20240212,799.0,Success,Credit Card
76,23,19,20240313,799.0,Success,UPI
77,23,19,20240412,799.0,Success,UPI
78,23,19,20240512,799.0,Success,Wallet
79,24,20,20241017,149.0,Success,Credit Card
80,25,21,20230227,199.0,Success,UPI
81,25,21,20230329,199.0,Success,UPI
82,25,21,20230428,199.0,Success,Debit Card
83,25,21,20230528,199.0,Success,Debit Card
84,25,21,20230627,199.0,Success,PayPal
85,25,21,20230727,199.0,Success,UPI
86,26,21,20230831,199.0,Success,PayPal
87,27,21,20231008,149.0,Success,Wallet
88,27,21,20231107,149.0,Success,Debit Card
89,27,21,20231207,149.0,Success,Credit Card
90,27,21,20240106,149.0,Success,UPI
91,27,21,20240205,149.0,Success,Wallet
92,27,21,20240306,149.0,Success,Wallet
93,28,22,20240215,199.0,Success,Credit Card
94,28,22,20240316,-199.0,Refunded,Credit Card
95,28,22,20240415,199.0,Success,Credit Card
96,29,23,20240803,199.0,Success,Wallet
97,29,23,20240902,199.0,Success,PayPal
98,29,23,20241002,199.0,Success,Credit Card
99,29,23,20241101,199.0,Success,PayPal
100,29,23,20241201,199.0,Success,UPI
101,30,24,20240210,149.0,Success,PayPal
102,30,24,20240311,149.0,Success,Wallet
103,30,24,20240410,149.0,Success,Credit Card
104,30,24,20240510,149.0,Success,UPI
105,30,24,20240609,149.0,Success,Wallet
106,30,24,20240709,149.0,Success,Wallet
107,31,25,20230910,799.0,Success,Credit Card
108,31,25,20231010,799.0,Success,UPI
109,31,25,20231109,799.0,Success,PayPal
110,31,25,20231209,799.0,Success,Debit Card
111,31,25,20240108,799.0,Success,Wallet
112,31,25,20240207,799.0,Success,Credit Card
113,31,25,20240308,799.0,Success,PayPal
114,31,25,20240407,799.0,Success,PayPal
115,31,25,20240507,799.0,Success,Wallet
116,31,25,20240606,799.0,Success,Wallet
117,31,25,20240706,799.0,Success,PayPal
118,31,25,20240805,799.0,Success,PayPal
