subscription_id,user_id,plan_id,start_date_id,end_date_id,status,cancellation_reason,duration_days
1,1,4,20241016,20241231,Active,,76
2,2,4,20230817,20230916,Cancelled,,30
3,3,4,20240712,20241231,Active,,172
4,4,1,20230406,20230506,xpired,,30
5,4,3,20230511,20240505,Expired,,360
6,5,2,20240728,20240827,Expired,,30
7,5,2,20240910,20241010,Expired,,30
8,5,3,20241025,20241231,Active,,67
9,6,1,20240305,20240404,Expired,,30
10,7,1,20230107,20230407,Expired,,90
11,7,3,20230417,20230517,Expired,,30
12,8,1,20230609,20230907,xpired,,90
13,9,4,20230405,20230704,Expired,,90
14,10,2,20240910,20241010,Cancelled,Not enough content,30
15,11,4,20240703,20240802,Expired,,30
16,12,2,20240719,20240818,Expired,,30
17,13,1,20240106,20240205,Cancelled,,30
18,14,2,20241108,20241208,Expired,,30
19,15,4,20230827,20240821,Expired,,360
20,16,4,20240109,20241231,ctive,,357
21,17,3,20231001,20231031,Cancelled,No longer needed,30
22,18,1,20240915,20241015,xpired,,30
23,19,3,20230617,20240611,Expired,,360
24,20,4,20241017,20241116,Cancelled,No longer needed,30
25,21,1,20230227,20230826,xpired,,180
26,21,1,20230831,20230930,Expired,,30
27,21,4,20231008,20240405,Cancelled,No longer needed,180
28,22,1,20240215,20240515,Expired,,90
29,23,1,20240803,20241231,ctive,,150
30,24,4,20240210,20240808,Cancelled,No longer needed,180
31,25,3,20230910,20240904,Expired,,360
32,25,4,20240917,20241216,Cancelled,,90
33,26,2,20240821,20241231,Active,,132
34,27,4,20230813,20230912,Expired,,30
35,28,1,20230218,20230320,Expired,,30
36,29,2,20241127,20241227,Active,,30
37,29,2,20241229,20241231,Active,,2
38,30,1,20240902,20241002,Expired,,30
39,30,1,20241012,20241111,Expired,,30
40,31,3,20230112,20230211,Expired,,30
41,31,2,20230212,20230314,Expired,,30
42,32,1,20240703,20240802,Expired,,30
43,32,2,20240809,20240908,xpired,,30
44,33,2,20231028,20240425,Expired,,180
45,33,2,20240510,20241106,Cancelled,Too expensive,180
