event_id,user_id,movie_id,date_id,device_type,watch_minutes,completion_pct,is_completed,rating_given
1,1375,373,20240522,Smart TV,99.2,73.5,0,5.0
2,2412,401,20241223,Laptop,19.4,62.4,0,
3,2405,103,20241225,Smart TV,20.6,60.5,0,3.0
4,511,539,20241217,Laptop,28.1,70.3,0,3.0
5,1205,23,20240821,Web Browser,6.3,11.7,0,
6,2890,36,20240224,Laptop,54.1,37.3,0,5.0
7,1709,112,20241027,Laptop,65.1,43.1,0,5.0
8,1664,335,20241205,Mobile,60.6,60.6,0,3.0
9,1855,356,20241223,Mobile,15.6,12.9,0,
10,102,213,20240605,Smart TV,16.0,17.8,0,3.0
11,2110,423,20230624,Tablet,32.4,72.1,0,
12,2519,500,20241224,Web Browser,48.1,89.1,0,
13,925,9,20241213,Laptop,54.1,65.2,0,
14,2626,423,20240210,Tablet,17.0,37.8,0,5.0
15,1578,199,20231119,Mobile,65.5,39.2,0,
16,960,472,20241203,Laptop,31.8,52.9,0,2.0
17,2483,380,20241121,Mobile,8.4,38.0,0,
18,749,425,20241230,Mobile,102.4,74.8,0,
19,264,451,20241130,Smart TV,36.5,91.2,1,
20,184,343,20231023,Laptop,25.1,67.8,0,4.0
21,579,366,20240828,Smart TV,26.7,47.8,0,
22,1978,545,20240709,Gaming Console,69.9,76.8,0,
23,270,211,20241220,Smart TV,75.7,53.7,0,4.0
24,1335,405,20240723,Mobile,31.8,79.5,0,5.0
25,82,135,20241228,Smart TV,22.5,77.7,0,1.0
26,1411,231,20240508,Mobile,17.9,38.1,0,4.0
27,2241,257,20230728,Mobile,75.1,91.5,1,5.0
28,2188,164,20241218,Tablet,17.2,28.7,0,1.0
29,13,374,20240213,Smart TV,16.1,27.2,0,4.0
30,2751,138,20241004,Smart TV,21.7,80.2,0,1.0
31,1065,141,20240626,Smart TV,96.0,59.6,0,
32,1572,148,20240602,Mobile,22.3,57.2,0,
33,1221,158,20241224,Smart TV,25.8,80.6,0,4.0
34,859,9,20240902,Laptop,29.3,35.3,0,
35,66,10,20241006,Mobile,56.5,57.1,0,
36,2111,350,20240806,Gaming Console,17.9,51.1,0,
37,460,346,20241217,Smart TV,36.0,65.4,0,
38,967,343,20240423,Smart TV,1.4,3.7,0,2.0
39,1511,58,20240830,Smart TV,11.4,51.8,0,
40,2514,410,20241104,Mobile,42.2,30.1,0,
41,2049,293,20240414,Smart TV,81.8,53.8,0,5.0
43,406,351,20231121,Tablet,7.3,8.4,0,
44,522,502,20241119,Tablet,11.4,27.2,0,
45,834,458,20241003,Mobile,28.1,48.5,0,5.0
46,2318,183,20240917,Smart TV,14.3,17.0,0,
47,2342,521,20240713,Gaming Console,73.7,70.2,0,4.0
48,2033,516,20241218,Web Browser,116.6,81.5,0,3.0
49,1185,37,20240606,Laptop,62.6,40.4,0,3.0
50,58,86,20240701,Smart TV,23.0,53.5,0,1.0
51,1474,190,20240406,Laptop,15.8,71.7,0,2.0
52,2948,54,20241208,Tablet,129.8,78.6,0,
53,56,17,20241211,Laptop,47.6,85.0,0,1.0
54,2981,348,20240706,Mobile,36.5,91.3,1,5.0
55,2292,116,20240519,Smart TV,36.0,60.0,0,3.0
56,2458,429,20230805,Gaming Console,64.0,69.5,0,5.0
57,1016,476,20241129,Smart TV,53.1,47.0,0,1.0
58,2783,20,20240615,Tablet,14.5,16.1,0,
59,2596,244,20241230,Smart TV,100.8,56.0,0,
60,1479,237,20240722,Smart TV,35.7,20.4,0,
61,1252,511,20241220,Tablet,44.2,36.2,0,5.0
62,844,303,20240414,Smart TV,126.5,86.7,0,3.0
63,2269,82,20241224,Laptop,10.8,51.3,0,4.0
64,2509,447,20241227,Smart TV,12.3,40.9,0,
65,669,120,20241208,Smart TV,22.2,67.2,0,
66,342,486,20240918,Mobile,36.3,80.7,0,
67,2023,465,20240619,Mobile,39.4,71.7,0,
68,2572,88,20240522,Smart TV,35.1,23.9,0,5.0
69,1512,295,20230718,Laptop,106.1,84.2,0,4.0
70,2189,408,20240420,Smart TV,83.0,56.4,0,
71,2874,393,20230225,Mobile,66.3,72.0,0,2.0
72,2674,21,20241118,Web Browser,103.5,82.1,0,
73,2209,493,20240715,Smart TV,9.5,47.4,0,4.0
74,258,570,20240513,Smart TV,50.8,28.7,0,
75,1603,242,20240830,Smart TV,26.6,51.2,0,2.0
76,2794,405,20231128,Mobile,18.7,46.7,0,
77,1031,146,20241025,Tablet,70.5,55.5,0,5.0
78,420,405,20231222,Tablet,14.2,35.4,0,
79,352,560,20240620,Smart TV,25.7,50.5,0,5.0
80,1811,98,20240513,Tablet,114.7,89.6,0,
81,2703,310,20241115,Mobile,22.8,37.9,0,4.0
82,741,432,20241228,Smart TV,83.7,55.8,0,3.0
83,1076,462,20240110,Tablet,17.4,69.8,0,4.0
84,2636,516,20241224,Laptop,120.8,84.4,0,
